one								
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
10	10	10	10	10	10	10	10	10
22	22	22	22	22	22	22	22	22
23	20	23	23	23	23	23	23	23
20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10
0	0	0	0	0	0	0	0	0
-4	-4	-4	-4	-4	-4	-4	-4	-4
-7	-7	-7	-7	-7	-7	-7	-7	-7
-3	-3	-3	-3	-3	-3	-3	-3	-3
-3	-3	-3	-3	-3	-3	-3	-3	-3
-2	-2	-2	-2	-2	-2	-2	-2	-2
-2	-2	-2	-2	-2	-2	-2	-2	-2
-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
